pipeline,subject,run,accuracy,kappa,confusion_matrix
cluster2,1,0,0.5042553191489362,0.33824151475475883,"[[205  16  53  76]
 [ 67  91 154  33]
 [ 37  72 242   9]
 [144  12  26 173]]"
cluster2,2,0,0.2581560283687943,0.00936657251957107,"[[ 85  27  86 152]
 [ 89  29  67 160]
 [ 85  19  55 201]
 [ 69  24  67 195]]"
cluster2,3,0,0.424822695035461,0.23143720322208805,"[[ 43  84 134  89]
 [  9  97 184  55]
 [ 18  40 288  14]
 [ 42  85  57 171]]"
cluster2,4,0,0.2851063829787234,0.04832434966018284,"[[157  76   9 108]
 [116 109   4 111]
 [127 103   9 121]
 [143  88   2 127]]"
cluster2,5,0,0.2581560283687943,0.01080836365465554,"[[ 14 137 130  69]
 [ 17 148 128  52]
 [  7 163 131  59]
 [ 14 132 138  71]]"
cluster2,6,0,0.274468085106383,0.02900667779632715,"[[  6   7 115 222]
 [  6   7 142 190]
 [  2  22 147 189]
 [  2  12 114 227]]"
cluster2,7,0,0.274468085106383,0.029375843239114907,"[[ 19   2 106 223]
 [ 15   0  97 233]
 [ 13   2  99 246]
 [ 17   2  67 269]]"
cluster2,8,0,0.2978723404255319,0.06446348565932891,"[[ 77 105  88  80]
 [ 69 127  49 100]
 [ 61 130  92  77]
 [ 65 102  64 124]]"
cluster2,9,0,0.32340425531914896,0.09722753538566875,"[[115  37  86 112]
 [133  76 107  29]
 [118  50 107  85]
 [108  27  62 158]]"
cluster2,1,1,0.49645390070921985,0.3276379682053555,"[[217  12  60  61]
 [ 74  72 172  27]
 [ 39  57 258   6]
 [166   8  28 153]]"
cluster2,2,1,0.2531914893617021,0.004805952141564429,"[[141  63  31 115]
 [143  44  25 133]
 [137  55  26 142]
 [121  58  30 146]]"
cluster2,3,1,0.4148936170212766,0.21784648072940482,"[[ 54  66 148  82]
 [ 18  86 196  45]
 [ 24  26 297  13]
 [ 71  64  72 148]]"
