model,subject,run,accuracy,kappa,precision,recall,f1_score
baseline,513,0,0.4722222222222222,0.22426991777714766,0.32037037037037036,0.4863492063492063,0.38538011695906427
baseline,513,1,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,513,2,0.3611111111111111,0.020987289388117003,0.4507042253521127,0.3461538461538462,0.1983024691358025
tl,300,0,0.2916666666666667,-0.01380452788514619,0.4081875667241521,0.3141025641025641,0.2972654858248079
tl,300,1,0.4444444444444444,0.14438502673796794,0.464349376114082,0.43050468050468055,0.419704433497537
tl,300,2,0.5138888888888888,0.2816419612314709,0.5853046594982079,0.5194342694342694,0.5241905253519655
tl,301,0,0.5,0.2512998266897746,0.49985007496251876,0.49728049728049734,0.4936894236319995
tl,301,1,0.5416666666666666,0.3180252583237658,0.5830065359477123,0.543123543123543,0.5481366459627329
tl,301,2,0.4861111111111111,0.23094688221709014,0.4928044749555047,0.47979797979797983,0.4790123456790123
tl,302,0,0.4722222222222222,0.20695652173913037,0.520703933747412,0.4666666666666666,0.47129876731477954
tl,302,1,0.3472222222222222,0.07993474714518767,0.35761991499696416,0.38974358974358975,0.2814814814814815
tl,302,2,0.3055555555555556,0.011532125205930721,0.462004662004662,0.34743589743589737,0.2570940170940171
tl,303,0,0.5694444444444444,0.3662691652470188,0.6808278867102396,0.5790598290598291,0.5078717156342727
tl,303,1,0.5416666666666666,0.3089005235602095,0.5666666666666667,0.5272921522921523,0.5056667658350688
tl,303,2,0.4861111111111111,0.22782608695652184,0.5096866096866096,0.47173659673659674,0.47035997035997035
tl,304,0,0.3888888888888889,0.09174311926605505,0.5258799171842651,0.38733488733488736,0.3445147001035973
tl,304,1,0.5277777777777778,0.28712871287128705,0.7813765182186234,0.5174825174825175,0.4582146248812915
tl,304,2,0.3333333333333333,0.007466973004020772,0.35646599777034554,0.334013209013209,0.3295927877208666
tl,306,0,0.625,0.43798785776235916,0.6211774495527356,0.6237458193979933,0.5893767343002775
tl,306,1,0.5277777777777778,0.3049403747870528,0.5308857808857809,0.5490523968784838,0.4504518225200527
tl,306,2,0.5416666666666666,0.31010452961672463,0.5121848739495798,0.536789297658863,0.501210939807431
tl,307,0,0.4583333333333333,0.15827338129496393,0.3611111111111111,0.43162393162393164,0.3419465977605512
tl,307,1,0.4027777777777778,0.07249850209706399,0.26379834854411127,0.37713675213675213,0.27832538420773717
tl,307,2,0.4444444444444444,0.14792899408284022,0.4165635951350237,0.4249222999222999,0.3778451178451179
tl,308,0,0.4583333333333333,0.20879120879120883,0.5133689839572192,0.4856654456654456,0.4329274329274329
tl,308,1,0.4305555555555556,0.17334080089610748,0.5170068027210885,0.4595115995115995,0.396092796092796
tl,308,2,0.4444444444444444,0.17549384483252217,0.4720853858784893,0.4500122100122099,0.41086272561682396
tl,309,0,0.4861111111111111,0.23623853211009171,0.5181917211328976,0.4886363636363636,0.48809523809523814
tl,309,1,0.5,0.2543153049482162,0.5282865282865282,0.49621212121212127,0.5036363636363635
tl,309,2,0.5277777777777778,0.2829525483304043,0.39775910364145656,0.5106837606837606,0.4225059101654846
tl,400,0,0.4722222222222222,0.22580645161290325,0.5376006441223833,0.4606227106227106,0.42437559510730244
tl,400,1,0.5277777777777778,0.3322422258592471,0.6581517897307371,0.5610119047619048,0.5385312615612282
tl,400,2,0.4583333333333333,0.20136518771331058,0.5441176470588235,0.4581043956043956,0.39999999999999997
tl,401,0,0.3194444444444444,-0.03157894736842115,0.21207430340557276,0.35353535353535354,0.25812014946823797
tl,401,1,0.2222222222222222,-0.06413301662707838,0.14998621450234353,0.3055555555555555,0.1961840628507295
tl,401,2,0.25,-0.09367088607594942,0.23248081841432225,0.3265151515151515,0.24856096284667714
tl,402,0,0.5,0.281994459833795,0.37792642140468224,0.5392156862745098,0.3972677595628415
tl,402,1,0.5,0.26488939307997716,0.6834688346883468,0.5190679170218813,0.41170634920634924
tl,402,2,0.4444444444444444,0.12859304084720125,0.4099925843529848,0.3931798806479114,0.39682539682539675
tl,403,0,0.4722222222222222,0.21917808219178092,0.4794871794871794,0.49877776044104644,0.4668938626385435
tl,403,1,0.5,0.28830313014827025,0.467032967032967,0.5606958963956935,0.4591982091982092
tl,403,2,0.5694444444444444,0.36355859709153127,0.5702005012531329,0.6006137202891767,0.5667755991285403
tl,404,0,0.4583333333333333,0.21999999999999997,0.4704545454545454,0.4996031746031746,0.42960858585858586
tl,404,1,0.5694444444444444,0.34583821805392734,0.5495123975516133,0.5551587301587301,0.5507293007293007
tl,404,2,0.4305555555555556,0.1584948688711516,0.4693084693084693,0.4293650793650794,0.4204324880777412
tl,405,0,0.2916666666666667,0.008906882591093068,0.3451363451363451,0.3395161290322581,0.28589780462084174
tl,405,1,0.375,0.05013192612137207,0.34662004662004664,0.36701612903225805,0.3298350824587706
tl,405,2,0.4166666666666667,0.12651646447140374,0.4172558922558922,0.4320967741935484,0.3853174603174603
tl,406,0,0.7638888888888888,0.6370106761565836,0.7646871008939975,0.7731729055258466,0.7606610950391085
tl,406,1,0.7083333333333334,0.5602094240837696,0.7034057971014492,0.723596256684492,0.6995005322197657
tl,406,2,0.4583333333333333,0.26645768025078365,0.6459677419354838,0.5685160427807486,0.4128032345013477
tl,407,0,0.5694444444444444,0.3716216216216216,0.40277777777777785,0.6348148148148148,0.48901935203305064
tl,407,1,0.875,0.8059880239520958,0.8814484126984127,0.8437037037037037,0.8506925112554559
tl,407,2,0.7361111111111112,0.5821624923640807,0.720969089390142,0.6777522349936143,0.6564973872774492
tl,408,0,0.5416666666666666,0.3152737752161383,0.5811764705882353,0.5547558354575899,0.551948051948052
tl,408,1,0.5555555555555556,0.3371691599539701,0.5386904761904762,0.5590543309841555,0.5240634944736526
tl,408,2,0.5833333333333334,0.34366453965360066,0.6058201058201058,0.5360373869145799,0.49083119960888616
tl,409,0,0.5,0.26530612244897955,0.5166666666666666,0.5357142857142857,0.4859820089955022
tl,409,1,0.4027777777777778,0.134228187919463,0.4505135387488329,0.4255952380952381,0.4066213151927438
tl,409,2,0.4444444444444444,0.1808873720136519,0.4561128526645768,0.48809523809523814,0.4294315022529
tl,410,0,0.4166666666666667,0.09352517985611519,0.2974603174603175,0.38611111111111107,0.3252525252525253
tl,410,1,0.5694444444444444,0.34159292035398237,0.5203907203907204,0.5796296296296296,0.5000832916874896
tl,410,2,0.3333333333333333,0.08716323296355,0.4478970495919648,0.4064814814814815,0.28741193447075797
tl,411,0,0.3611111111111111,0.028739002932551383,0.3419923371647509,0.3401532567049808,0.3395061728395062
tl,411,1,0.4305555555555556,0.12455516014234869,0.4196236559139785,0.4168582375478927,0.4176470588235294
tl,411,2,0.4722222222222222,0.19859402460456954,0.4754848999331173,0.4672286079182631,0.4666666666666666
tl,412,0,0.4444444444444444,0.15393654524089306,0.44589862298195637,0.4342124542124542,0.43108649295261875
tl,412,1,0.2916666666666667,-0.06004618937644324,0.19615384615384612,0.29523809523809524,0.22743110547988596
tl,412,2,0.4444444444444444,0.17690768791083178,0.4603174603174603,0.4581196581196581,0.44190230573209294
tl,413,0,0.5694444444444444,0.34275618374558314,0.6629072681704261,0.5952380952380952,0.5500643500643501
tl,413,1,0.4444444444444444,0.15194346289752658,0.4271929824561404,0.48809523809523814,0.42999202725230123
tl,413,2,0.5833333333333334,0.3639575971731448,0.5827710301394512,0.6160714285714285,0.5776356313669747
tl,414,0,0.5694444444444444,0.3479404031551272,0.5606502816180235,0.5579805996472663,0.5573248606049278
tl,414,1,0.18055555555555555,-0.2665474060822899,0.10427010923535253,0.16754850088183418,0.125
tl,414,2,0.5138888888888888,0.2727272727272727,0.4958270864567716,0.5158730158730159,0.5004440227242316
tl,415,0,0.4444444444444444,0.18228279386712087,0.5273968129571578,0.4477777777777778,0.4461188583995601
tl,415,1,0.4444444444444444,0.1618160651920838,0.29004329004329005,0.44259259259259265,0.3499608763693271
tl,415,2,0.4444444444444444,0.16666666666666663,0.4267507002801121,0.43790123456790125,0.40884074941451987
tl,416,0,0.6111111111111112,0.39586454899610424,0.4431205673758865,0.5748717948717949,0.4900456621004566
tl,416,1,0.6388888888888888,0.45676146256529304,0.6552758708365115,0.6457631257631258,0.6450216450216449
tl,416,2,0.6111111111111112,0.399642644431209,0.6523809523809524,0.5824908424908425,0.5507556051034311
tl,417,0,0.4444444444444444,0.1438763376932224,0.42468956619900017,0.4599802884116609,0.4029411764705883
tl,417,1,0.5277777777777778,0.2727272727272727,0.5359848484848485,0.5269996887643945,0.527879186865362
tl,417,2,0.4583333333333333,0.19771428571428573,0.4710317460317461,0.4679167963481689,0.4560457516339869
tl,418,0,0.4583333333333333,0.17314487632508846,0.45744917850181005,0.48214285714285715,0.4612376351506786
tl,418,1,0.7777777777777778,0.6583629893238434,0.7710731031543053,0.7738095238095238,0.7685680332739157
tl,418,2,0.2777777777777778,-0.04347826086956541,0.29971988795518206,0.30952380952380953,0.2786492374727669
tl,419,0,0.625,0.3789137380191693,0.4696969696969697,0.5169753086419754,0.46336379669713
tl,419,1,0.4722222222222222,0.2664879356568365,0.31093951093951094,0.5394112060778727,0.3854166666666667
tl,419,2,0.2222222222222222,-0.16397228637413397,0.11011904761904762,0.2108262108262108,0.1434704334579698
tl,420,0,0.4583333333333333,0.24025974025974028,0.5375,0.5270935960591133,0.45925925925925926
tl,420,1,0.4861111111111111,0.2762836185819071,0.5920634920634921,0.5623973727422004,0.4524797009171097
tl,420,2,0.4444444444444444,0.19799498746867172,0.4545454545454546,0.5155993431855501,0.4351478308925117
tl,421,0,0.6111111111111112,0.38592750533049036,0.5660902405088452,0.5386724386724386,0.49420391387604506
tl,421,1,0.4166666666666667,0.18556423377322917,0.5305066797002281,0.4858585858585858,0.4110304255905874
tl,421,2,0.6527777777777778,0.46777054997043166,0.6247063527765283,0.6321789321789323,0.6206778410288846
tl,422,0,0.4861111111111111,0.2461799660441425,0.5489560220743016,0.49907407407407406,0.4875420875420875
tl,422,1,0.5555555555555556,0.31550802139037437,0.5148148148148148,0.5148148148148147,0.5134284016636957
tl,422,2,0.6944444444444444,0.5285714285714287,0.67808105872622,0.6722222222222222,0.6731843020367609
tl,423,0,0.5555555555555556,0.33333333333333337,0.5814000814000814,0.5278520499108734,0.5409090909090909
tl,423,1,0.6388888888888888,0.43375680580762244,0.554954954954955,0.5826648841354723,0.5464044429176687
tl,423,2,0.8333333333333334,0.7298311444652907,0.8296558704453441,0.7894385026737968,0.803605118996204
tl,424,0,0.25,-0.13984168865435365,0.2179295757123305,0.24691358024691357,0.2093912093912094
tl,424,1,0.4027777777777778,0.10649350649350653,0.2493617021276596,0.4012345679012346,0.30672532998114393
tl,424,2,0.4583333333333333,0.18537859007832902,0.4366208439897698,0.4506172839506173,0.4345710098087114
tl,425,0,0.7638888888888888,0.6439790575916231,0.7505100263720953,0.7530864197530863,0.7456349206349207
tl,425,1,0.7361111111111112,0.5946666666666667,0.7086419753086419,0.7037037037037036,0.7041762655797744
tl,425,2,0.6527777777777778,0.4923857868020305,0.6832376048062323,0.6790123456790124,0.6294296996051382
tl,426,0,0.4166666666666667,0.11058823529411765,0.3987718743411343,0.39620915032679743,0.39368710447141825
tl,426,1,0.4027777777777778,0.07249850209706421,0.37548732943469787,0.37803921568627447,0.36926965908314546
tl,426,2,0.4166666666666667,0.134020618556701,0.4230769230769231,0.4405228758169935,0.41909104727162183
tl,427,0,0.7083333333333334,0.547576301615799,0.7000000000000001,0.6702741702741704,0.6313025210084033
tl,427,1,0.6111111111111112,0.3951395139513951,0.5433930093776641,0.5464165464165464,0.5396998746106864
tl,427,2,0.5416666666666666,0.363855421686747,0.698874296435272,0.6298701298701298,0.5267143697686336
tl,428,0,0.7777777777777778,0.6521739130434783,0.738776655443322,0.7291666666666666,0.7284153005464481
tl,428,1,0.7361111111111112,0.5884476534296028,0.7133634992458523,0.7023809523809524,0.7024716491419536
tl,428,2,0.20833333333333334,-0.204225352112676,0.1868070953436807,0.22321428571428573,0.1966431314257401
tl,429,0,0.5694444444444444,0.34507042253521125,0.6017094017094017,0.5646853146853147,0.5628749628749629
tl,429,1,0.8194444444444444,0.7259953161592506,0.8536796536796537,0.8106060606060606,0.8152928409521425
tl,429,2,0.5555555555555556,0.33678756476683935,0.5794161123429417,0.5583721833721834,0.522898722898723
tl,430,0,0.4305555555555556,0.11801613385121013,0.4872340425531915,0.4258340226082162,0.4190192574945404
tl,430,1,0.3611111111111111,0.03832752613240409,0.25555555555555554,0.3803418803418803,0.2862474877978754
tl,430,2,0.4861111111111111,0.2737186477644493,0.5939951504778206,0.5461262751585333,0.4902005012531328
tl,431,0,0.6111111111111112,0.42334096109839814,0.43774031351671105,0.6666666666666666,0.5237940379403794
tl,431,1,0.3611111111111111,0.04608294930875578,0.31262543331508846,0.4096459096459097,0.3371346443154954
tl,431,2,0.625,0.4345549738219895,0.4222222222222222,0.6547619047619048,0.5132420091324201
tl,432,0,0.7222222222222222,0.5829713292788878,0.7214251207729468,0.7270505018983721,0.715539332264071
tl,432,1,0.75,0.625,0.7606172839506172,0.7432516773287565,0.7396480331262939
tl,432,2,0.7638888888888888,0.6421052631578947,0.7621136173767752,0.7613772299370677,0.7514176245210727
tl,433,0,0.6111111111111112,0.4168354064217529,0.6129468599033817,0.610072463768116,0.6110085878322961
tl,433,1,0.5,0.2440944881889764,0.445970695970696,0.4895893719806763,0.4492724867724868
tl,433,2,0.6388888888888888,0.4605187319884726,0.6640271493212669,0.6441545893719807,0.6233397366402292
tl,434,0,0.6111111111111112,0.41087083576855643,0.6189729810419465,0.6246487867177523,0.6179660169915042
tl,434,1,0.7361111111111112,0.5784283513097073,0.8195402298850575,0.670727969348659,0.6373744344758837
tl,434,2,0.875,0.808227286179343,0.8672517394054395,0.8610983397190294,0.8634920634920634
tl,435,0,0.5833333333333334,0.34266585514303105,0.44726166328600403,0.5025641025641026,0.4706214689265537
tl,435,1,0.3194444444444444,0.08837209302325566,0.3538011695906433,0.3990384615384615,0.29416005767844267
tl,435,2,0.7083333333333334,0.5689851767388825,0.7303312629399586,0.7272435897435897,0.7043726581541708
tl,436,0,0.5277777777777778,0.26618705035971224,0.5021197668256492,0.49907407407407406,0.4950959488272921
tl,436,1,0.5694444444444444,0.37688442211055273,0.6291101055806938,0.6083333333333334,0.5669319606196682
tl,436,2,0.4583333333333333,0.22388059701492535,0.5576242978988974,0.4842592592592592,0.46169100748758246
tl,437,0,0.5972222222222222,0.3999999999999999,0.42361111111111116,0.636302294197031,0.5042949926670857
tl,437,1,0.6388888888888888,0.45038167938931295,0.6678743961352657,0.6477732793522267,0.5863189322093432
tl,437,2,0.6527777777777778,0.468399291199055,0.6646264130135098,0.6450242415154696,0.6506995371092734
tl,438,0,0.7083333333333334,0.5648920863309352,0.7194891443167305,0.7159706959706961,0.705420276637787
tl,438,1,0.6527777777777778,0.47931732716227937,0.6510890543148607,0.6534798534798535,0.636742565633943
tl,438,2,0.5555555555555556,0.33850129198966405,0.5145310867293627,0.5728693528693528,0.519128390826504
tl,439,0,0.7222222222222222,0.5683453237410072,0.7581981981981981,0.7013888888888888,0.7028753051186184
tl,439,1,0.5972222222222222,0.36956521739130443,0.6397619047619049,0.5729166666666666,0.5625079455886092
tl,439,2,0.6111111111111112,0.38983050847457634,0.6937127371273712,0.5798611111111112,0.5788655788655789
tl,440,0,0.6666666666666666,0.48815165876777245,0.6944444444444445,0.6816730523627076,0.6763038548752834
tl,440,1,0.6111111111111112,0.3913043478260869,0.6555555555555556,0.6119093231162197,0.6282231001231894
tl,440,2,0.5,0.23245484157536278,0.44571090847686595,0.5360525755640698,0.4487220667186711
tl,441,0,0.4166666666666667,0.1923076923076923,0.27777777777777773,0.5274725274725275,0.3561290322580645
tl,441,1,0.4583333333333333,0.09652509652509667,0.30598555211558304,0.3846153846153846,0.338699494949495
tl,441,2,0.4583333333333333,0.20408163265306123,0.3271604938271605,0.532967032967033,0.39999999999999997
tl,442,0,0.3194444444444444,0.008988764044943753,0.28769841269841273,0.354040404040404,0.3048941798941799
tl,442,1,0.3888888888888889,0.12243767313019382,0.4564342613123101,0.42070707070707075,0.3875068465232399
tl,442,2,0.3888888888888889,0.13489896231567433,0.26173616574875425,0.4439393939393939,0.32866479925303455
tl,443,0,0.4861111111111111,0.23907455012853474,0.4791666666666667,0.5041854636591478,0.47168578123073135
tl,443,1,0.4722222222222222,0.17015468607825301,0.5377302436125966,0.4303258145363409,0.4205746433594535
tl,443,2,0.5972222222222222,0.36669699727024574,0.6512297226582942,0.5572431077694235,0.550577069633331
tl,444,0,0.5694444444444444,0.3575129533678757,0.5786452651810295,0.5758082497212932,0.5670960815888352
tl,444,1,0.5,0.2506504770164787,0.4978442678302426,0.5,0.49213723429751305
tl,444,2,0.3194444444444444,-0.03612334801762129,0.2079727248885392,0.30824972129319955,0.248019163442049
tl,445,0,0.5277777777777778,0.2829525483304043,0.4801693404634581,0.49223057644110274,0.4774172719935432
tl,445,1,0.4444444444444444,0.1630340017436792,0.35897435897435903,0.46035087719298246,0.37445887445887444
tl,445,2,0.5694444444444444,0.36734693877551017,0.5484330484330485,0.6055388471177945,0.5157981670929241
tl,446,0,0.2222222222222222,-0.04293843766166594,0.2688888888888889,0.2761847869374751,0.21496569243662267
tl,446,1,0.3472222222222222,0.06853839801816686,0.3759528759528759,0.3942936792399158,0.33934517203107656
