subject,run,accuracy,kappa,precision,recall,f1_score
436,0,0.6666666666666666,0.4875444839857651,0.6669590643274854,0.6657407407407407,0.664008164008164
436,1,0.6666666666666666,0.4866310160427807,0.6640866873065016,0.662962962962963,0.6598640791954745
436,2,0.5972222222222222,0.3626373626373627,0.6072431633407244,0.562962962962963,0.5680898347241232
437,0,0.8333333333333334,0.7464044614029939,0.8859649122807017,0.8414304993252362,0.8366149896316776
437,1,0.8611111111111112,0.7893504973668812,0.8863834422657951,0.872269705603039,0.8665150878265632
437,2,0.8472222222222222,0.7680819912152269,0.8932432432432433,0.8589743589743589,0.849938763810715
438,0,0.75,0.6281205164992826,0.7876305792972461,0.7595115995115994,0.7388282025819265
438,1,0.7361111111111112,0.6079105760963026,0.7791806958473625,0.7461782661782661,0.7218413381935395
438,2,0.75,0.6281205164992826,0.7876305792972461,0.7595115995115994,0.7388282025819265
439,0,0.6111111111111112,0.3927710843373494,0.6211640211640211,0.5798611111111112,0.5832246849196002
439,1,0.5833333333333334,0.354066985645933,0.5693554131054132,0.5520833333333334,0.5537905986474075
439,2,0.6111111111111112,0.3985680190930787,0.6103341103341103,0.5868055555555555,0.5894333534986892
440,0,0.6527777777777778,0.4561933534743202,0.6882338400692127,0.6480949340144743,0.6626984126984127
440,1,0.625,0.40929808568824055,0.6650349650349651,0.6140644955300129,0.629651467505241
440,2,0.625,0.40929808568824055,0.6650349650349651,0.6140644955300129,0.629651467505241
441,0,0.625,0.43356643356643354,0.6437499999999999,0.6703296703296703,0.6358246216258387
441,1,0.6111111111111112,0.4042553191489362,0.6141350527315439,0.6527014652014652,0.625421423079198
441,2,0.5555555555555556,0.3093525179856115,0.5497685185185185,0.5770375457875457,0.5590277777777778
442,0,0.6805555555555556,0.5117924528301887,0.6703277009728623,0.6691919191919192,0.6695831744821451
442,1,0.6527777777777778,0.462044231918709,0.6463708290333677,0.6303030303030304,0.6339865364255608
442,2,0.6388888888888888,0.45581395348837206,0.6362665112665112,0.6398989898989899,0.6352813852813853
443,0,0.6527777777777778,0.492814877430262,0.7451963241436926,0.6795989974937343,0.6562835660580021
443,1,0.6805555555555556,0.5298126064735945,0.7547619047619047,0.7034085213032583,0.6810616284300495
443,2,0.6666666666666666,0.5004336513443193,0.7269585253456222,0.6745864661654135,0.6668248334503768
444,0,0.5277777777777778,0.2977624784853701,0.5562770562770564,0.5340022296544036,0.5182046453232894
444,1,0.4861111111111111,0.23842195540308753,0.5321070234113713,0.4955406911928651,0.4681055529582879
444,2,0.5,0.2570937231298367,0.5315628815628816,0.5066889632107023,0.4910924243279342
445,0,0.7777777777777778,0.6577540106951871,0.7907647907647908,0.7502756892230577,0.7500821018062398
445,1,0.7916666666666666,0.68,0.8063973063973063,0.7678195488721804,0.7703306704419051
445,2,0.7638888888888888,0.6357142857142857,0.7778711484593837,0.7327318295739348,0.7295093373410148
446,0,0.4444444444444444,0.18112027295990896,0.5063492063492063,0.4364510439779257,0.4233045440847391
446,1,0.4166666666666667,0.09758281110116374,0.4363207547169812,0.3592194344882517,0.31132478632478633
446,2,0.4305555555555556,0.135831381733021,0.4176395289298515,0.39639870285031575,0.39790398918187964
447,0,0.4861111111111111,0.20119940029985006,0.47625,0.4785799624509302,0.47408922657315405
447,1,0.4444444444444444,0.15690866510538637,0.4418074756784434,0.4577857427319793,0.4392000832163104
447,2,0.4722222222222222,0.17391304347826086,0.44162210338680924,0.43693463048301756,0.4367695796267224
448,0,0.625,0.3727008712487899,0.5712114303085575,0.5478835978835979,0.5540174862848636
448,1,0.6388888888888888,0.4096499526963103,0.6079622132253711,0.596031746031746,0.600919540229885
448,2,0.6527777777777778,0.4382022471910112,0.6289989680082559,0.611904761904762,0.6171467520151731
449,0,0.6805555555555556,0.5273972602739726,0.703781621733936,0.7022325234441603,0.6735802469135802
449,1,0.625,0.44425385934819894,0.6714082503556188,0.6329923273657289,0.611111111111111
449,2,0.6666666666666666,0.5081127241673783,0.6959718670076726,0.6918158567774936,0.6601113172541745
450,0,0.5694444444444444,0.3273056057866185,0.5564468211527035,0.5568910256410257,0.5537427626137305
